key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
2012-03-13 21:01:01.0000003,7.7,2012-03-13 21:01:01+00:00,-73.980853,40.759614,-73.953015,40.768266,1
2009-11-21 01:23:00.000000176,9.7,2009-11-21 01:23:00+00:00,-73.98502,40.728015,-73.989805,40.756522,5
2009-08-24 13:54:00.00000088,6.9,2009-08-24 13:54:00+00:00,-73.971575,40.797217,-73.979873,40.777457,1
2013-07-18 22:17:00.000000143,16.5,2013-07-18 22:17:00+00:00,-73.993272,40.721837,-73.957388,40.687695,1
2011-11-07 10:17:00.000000106,4.9,2011-11-07 10:17:00+00:00,-73.952782,40.791807,-73.955555,40.779142,2
2011-01-17 22:21:00.00000015,10.5,2011-01-17 22:21:00+00:00,-73.988848,40.726938,-73.9797,40.766563,2
2009-12-05 20:31:00.000000197,11.7,2009-12-05 20:31:00+00:00,-73.947507,40.779303,-73.989252,40.763098,2
2012-07-28 01:07:51.0000006,14.1,2012-07-28 01:07:51+00:00,-73.987143,40.72061,-73.951886,40.775431,1
2013-05-20 07:44:37.0000002,6.0,2013-05-20 07:44:37+00:00,-73.994442,40.750214,-73.980912,40.761565,1
2015-05-15 09:05:02.0000008,12.0,2015-05-15 09:05:02+00:00,-73.97715759277344,40.77973175048828,-73.9998779296875,40.75402069091797,1
2014-11-18 06:53:00.00000082,9.5,2014-11-18 06:53:00+00:00,-73.99133,40.74993,-73.9762,40.75996,1
2010-03-31 17:33:00.00000018,6.5,2010-03-31 17:33:00+00:00,-73.962813,40.778335,-73.972895,40.764208,1
2009-08-23 20:20:37.0000003,10.1,2009-08-23 20:20:37+00:00,-73.919003,40.74304,-73.895241,40.752449,1
2015-05-02 16:36:34.0000003,21.5,2015-05-02 16:36:34+00:00,-73.9832992553711,40.76721954345703,-74.00898742675781,40.71691131591797,1
2010-01-08 17:57:00.000000273,10.5,2010-01-08 17:57:00+00:00,-73.973167,40.764108,-74.002183,40.738727,1
2010-02-11 18:55:24.0000003,6.1,2010-02-11 18:55:24+00:00,-73.952843,40.783065,-73.967913,40.767717,2
2009-10-01 14:47:35.0000002,18.1,2009-10-01 14:47:35+00:00,-73.999478,40.738502,-73.953081,40.778559,1
2010-01-02 19:15:00.00000012,3.3,2010-01-02 19:15:00+00:00,-73.96492,40.763747,-73.96148,40.768147,2
2014-06-18 18:41:27.0000003,8.0,2014-06-18 18:41:27+00:00,-73.965003,40.759895,-73.979533,40.739931,1
2010-09-30 13:32:00.000000140,8.1,2010-09-30 13:32:00+00:00,-73.987597,40.759565,-73.980215,40.75017,1
2013-02-11 19:34:19.0000005,25.0,2013-02-11 19:34:19+00:00,-73.968994,40.769989,-73.982233,40.697243,1
2013-04-03 19:48:00.000000173,21.0,2013-04-03 19:48:00+00:00,-74.007925,40.711882,-73.949655,40.771917,1
2012-02-03 07:00:01.0000004,4.5,2012-02-03 07:00:01+00:00,-73.958469,40.768818,-73.958542,40.76549,1
2010-09-11 19:40:00.000000130,7.7,2010-09-11 19:40:00+00:00,-73.967192,40.689545,-73.981193,40.690088,3
